ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
236;NutraPro Control Peso;Agripac;Felino;Esterilizado;32,00;8,00;8,00;12,00;5,00;35,00;5,68;421,60;350,24;316,96;5,15;Harina de pollo, arroz, gluten de maíz, maíz, pulpa de remolacha,;"Harina de pollo; gluten de maíz";—;"arroz; maíz; pulpa de remolacha";—
237;Royal canin Sterilised 37;Royal canin;Felino;adulto/esterilizado;37,00;12,00;7,00;10,00;3,00;31,00;3,33;463,10;400,27;361,79;34,00;pollo deshidratado, maiz, aislado de proteinas vegetales, fibras vegetales, grasas animales;"pollo deshidratado; aislado de proteinas vegetales";grasas animales;"maiz; fibras vegetales";—
238;Royal canin Urinary S/O;Royal canin;Felino;Adultos/ Cachorros;34,00;15,00;7,50;8,00;2,50;33,00;2,72;480,35;419,41;384,05;40,00;Arroz, gluten de trigo, pollo deshidratada, harian de maiz, grasas animales;"gluten de trigo; pollo deshidratada";grasas animales;"Arroz; harian de maiz";—
239;Royal cani kitten sterilised;Royal Canin;Felino;cachorro/esterilizado;34,00;12,00;7,40;8,00;9,80;28,80;10,65;464,86;353,14;317,78;38,60;harina de subproductos de pollo, arroz integral, grasa de pollo, gluten de trigo, maiz;"harina de subproductos de pollo; gluten de trigo";grasa de pollo;"arroz integral; maiz";—
240;Wellness ;Wellness ;Felino ;Adultos/Esterilizados ;38,00;18,00;9,00;10,00;5,00;20,00;5,56;488,30;406,54;367,02;12,00;Pollo o salmón ,harina de pescado ,arroz o cebada,linaza ,grasa de pollo ;"Pollo o salmón; harina de pescado";grasa de pollo;arroz o cebada;linaza
241;Avant Gatitos;Avant Premium;Felino ;Gatitos hasta 12 meses;38,00;16,00;9,00;10,00;3,50;23,50;3,89;477,70;409,10;369,58;3,71;Carne fresca de pollo y cerdo, Harina de pollo, Arroz, Maíz, Avena;"Carne fresca de pollo y cerdo; Harina de pollo";—;"Arroz; Maíz; Avena";—
242;Avant Adulto;Avant Premium;Felino ;Adulto;32,00;14,00;9,00;10,00;4,00;31,00;4,44;457,50;388,16;354,88;5,00;Carne de pollo y/o cerdo, harina de pollo, arroz, maíz, proteína vegetal;"Carne de pollo y/o cerdo; harina de pollo; proteína vegetal";—;"arroz; maíz";—
243;Avant Urinary;Avant Premium;Felino ;Adulto;34,00;12,00;8,50;10,00;4,00;31,50;4,44;452,15;383,62;348,26;5,50;Carne de pollo y/o cerdo, harina de pollo, arroz, maíz, proteína de maíz;"Carne de pollo y/o cerdo; harina de pollo; proteína de maíz";—;"arroz; maíz";—
244;Ferguz;Ferguz Premium;Felino ;Adulto mix;30,00;10,00;8,00;11,00;4,00;37,00;4,49;433,10;367,15;335,95;19,95;Harina de pollo, concentrado proteico de maíz, arrocillo, maíz entero, germen de maíz;"Harina de pollo; concentrado proteico de maíz";—;"arrocillo; maíz entero; germen de maíz";—
245;Güerpo fórmula granjera;Güerpo;Felino ;Esterilizado;36,00;10,00;8,00;10,00;4,00;32,00;4,44;446,80;379,08;341,64;6,50;Harina de pollo, concentrado proteico de maiz, hidrolizado en polvo de pollo y/o cerdo, huevo hidrolizado, pasta de soya;"Harina de pollo; concentrado proteico de maiz; hidrolizado en polvo de pollo y/o cerdo; huevo hidrolizado; pasta de soya";—;—;—
